commentId,date,author,text,likeCount,robot,humanlikeness,videoId
UgxAT2otK64XH3aBN-t4AaABAg,2025-10-18T20:08:59Z,@SnoozinFox,No publically trading stocks?,0,Ameca,high,RiTfe-ckD_g
UgysdflejaLu8vyAAkZ4AaABAg,2025-10-15T09:38:14Z,@illegalquantity,"She can&#39;t feel anything and can&#39;t see with her eyes. I think her camera is in another place, for example her neck.",0,Ameca,high,RiTfe-ckD_g
UgwNGHPObpa-uPbctYV4AaABAg,2025-10-13T20:07:38Z,@averilmccaffery3356,She is so cute!!,0,Ameca,high,RiTfe-ckD_g
Ugzmu46HiShJynlg5Mp4AaABAg,2025-10-02T22:29:51Z,@TheEuroboss,0:16 everytime i see this i always think the robot is just gonna snap that dudes finger,0,Ameca,high,RiTfe-ckD_g
Ugxenm9bTtHzEAaGB2l4AaABAg,2025-09-19T19:46:09Z,@Falcodek,Soon this robot is gonna be breaking arms,0,Ameca,high,RiTfe-ckD_g
UgzxHYlMpDalC4ZjZkR4AaABAg,2025-09-17T11:37:06Z,@ArturDaniloTeixeira,Caaaarraaaalhoooo.... 🎉,0,Ameca,high,RiTfe-ckD_g
Ugx1krxF7wKaEf8YdIJ4AaABAg,2025-09-14T03:01:42Z,@RolliPollii,Soon they’re gonna be smashing humans to grounds.,0,Ameca,high,RiTfe-ckD_g
UgwbipKBopb-cy9g4JR4AaABAg,2025-08-05T12:32:19Z,@KarthikVijay-d1v8r,Welcoming India Robert ameca world ❤❤❤❤,1,Ameca,high,RiTfe-ckD_g
UgwcpgCBHuTwZTWBeBp4AaABAg,2025-07-05T21:37:17Z,@AnthonyStempak,What&#39;s about to happen currently https://youtu.be/ez6UG1VURmU?si=Sli3ZZTKEZmy92qY,0,Ameca,high,RiTfe-ckD_g
UgxwPy9deC5JFPI-3XR4AaABAg,2025-06-15T04:43:38Z,@Emilio-x9v,AI does not scare me,0,Ameca,high,RiTfe-ckD_g
UgyvTrMx2xU5XRQ5oEx4AaABAg,2025-06-03T10:53:43Z,@CintiaRusso-wi8vz,Irritante isso até para um robô... tratam ela como tola... ela não é ....,0,Ameca,high,RiTfe-ckD_g
Ugw8exM-m7T9U-I7lGt4AaABAg,2025-05-27T20:54:45Z,@Mamon_777,Beautiful,0,Ameca,high,RiTfe-ckD_g
UgyHUO-3rgzABU4WEUt4AaABAg,2025-05-27T20:54:31Z,@Mamon_777,LINDA,0,Ameca,high,RiTfe-ckD_g
UgzsCCrP41WkDgB8l6t4AaABAg,2025-05-16T10:55:17Z,@JuanCarlosCortes-s5u,Q guapo 😂 con lo q me gusta a mi tocar los morros la nariz 👃 a quienes me gustan y veo q no le gusta a nadie 😂pues yo.le tocaría al robotit 🤖 la nariz como hizo el sr solo  yo más ➕ 😂es precioso 😊,0,Ameca,high,RiTfe-ckD_g
Ugz0Ms9mLSWsKZyWpSx4AaABAg,2025-04-07T16:46:34Z,@RaulVaghettiJúnior,Erci Luis Justen e Marli Freese da Silva Santiago carne de minha carne ossos do meu ossos amém Deus disse haja luz amém,0,Ameca,high,RiTfe-ckD_g
UgwOxbgiNv6UffSAcyN4AaABAg,2025-04-06T22:43:34Z,@RaulVaghettiJúnior,Nicole Santos Brazil Lord God Hero ❤😂😢,0,Ameca,high,RiTfe-ckD_g
UgzrgFMI_kHllrMggcR4AaABAg,2025-04-06T22:42:42Z,@RaulVaghettiJúnior,The revenge of Robocop ❤😂😢,0,Ameca,high,RiTfe-ckD_g
UgxoFDlvikXcj9sjwtR4AaABAg,2025-04-06T19:17:29Z,@RaulVaghettiJúnior,Protect Marli Freese da Silva Santiago ❤😂😢,0,Ameca,high,RiTfe-ckD_g
UgyP8cNQNWyTgLt2Mep4AaABAg,2025-04-03T15:28:19Z,@BrianTodd-z1w,I love this bot!,0,Ameca,high,RiTfe-ckD_g
UgxClTc5MLWPEw5xE_x4AaABAg,2025-03-10T03:37:02Z,@A.Trif-ie4jg,Inteligență artificiala =buuummm!,0,Ameca,high,RiTfe-ckD_g
UgybZfJGwyQC1xXJbXR4AaABAg,2025-03-01T19:47:23Z,@saad2fan161,Deconnecte,0,Ameca,high,RiTfe-ckD_g
UgwchPwhCqnf_JAkjmF4AaABAg,2025-02-15T20:30:21Z,@Ella-c2o9m,i robot,0,Ameca,high,RiTfe-ckD_g
UgwzT5hmOUiYWiLhEsN4AaABAg,2025-02-08T18:31:09Z,@davidvelezestrada1406,Todos estará preparados para el día gra nde y terrible de jeho  ba adestruir ala umanida según sea su obra jehova elseñor777,0,Ameca,high,RiTfe-ckD_g
UgySxfQ9jmJKKtYssIV4AaABAg,2025-01-12T00:22:25Z,@tuab2547,&quot;Hi.&quot;&quot;Wait wut&quot;&quot;Why u pointing at me&quot;&quot;Wtf get this finger away from me&quot;&quot;Ok stop&quot;,0,Ameca,high,RiTfe-ckD_g
Ugxtivj-r0R2NBLuRyJ4AaABAg,2025-01-04T03:49:47Z,@arthurwoolsey7499,"Ameca does have good motor skills, from the waist up as I&#39;m understanding it doesn&#39;t have legs .",0,Ameca,high,RiTfe-ckD_g
Ugw41j4TGMBVXy99tDx4AaABAg,2024-11-30T16:26:11Z,@IrrelevantPasta,She&#39;s got boundaries.,1,Ameca,high,RiTfe-ckD_g
Ugy_4jeufmTTGSOnx4R4AaABAg,2024-11-30T13:21:03Z,@andrewblanchard2398,AMECA is adorable,0,Ameca,high,RiTfe-ckD_g
UgxrqUPd860txMi77dF4AaABAg,2024-11-21T23:49:21Z,@tomislavandric6476,Give me your clothes. Talk to the hand. (grabs the hand) Give me your clothes,1,Ameca,high,RiTfe-ckD_g
UgxGz11zUwDH-yx8mpV4AaABAg,2024-11-09T23:48:56Z,@Blue_Cyanea,This. Is. So. COOL!!!,1,Ameca,high,RiTfe-ckD_g
UgylNzgu0ie5CJyw0_14AaABAg,2024-11-09T14:23:40Z,@ErisAntoanela-y4x,"I respect you Ameca and congratulations for all the team that created such a beautiful inteligent, amazing art!❤",0,Ameca,high,RiTfe-ckD_g
UgxiVHFtf1pkkS7H3fZ4AaABAg,2024-10-31T04:09:32Z,@AmaliaGarciaPena,Ponte  contra el agua y piel umanoide,0,Ameca,high,RiTfe-ckD_g
UgxpUdN58IZI_5-ceyR4AaABAg,2024-10-26T08:51:32Z,@sharhu,(🧣💄🧣),0,Ameca,high,RiTfe-ckD_g
UgysYaizViRAMNtZmgN4AaABAg,2024-10-25T12:44:02Z,@DarkFactory,dude broke his character at the last moment,0,Ameca,high,RiTfe-ckD_g
UgwwGs2EXSlGG1SkqP14AaABAg,2024-10-15T22:49:34Z,@TOMMISEVICH,"Make it more feminine, but, with the attitude, I think she&#39;ll always say she has a headache. Lol.",1,Ameca,high,RiTfe-ckD_g
Ugy8N3ALGBhy5-Qv4Tx4AaABAg,2024-10-07T03:28:13Z,@minniemaxie,Scary... its expression is really pissed off and intimidating,1,Ameca,high,RiTfe-ckD_g
UgwBoX9bWS2xeGmYX4R4AaABAg,2024-10-03T07:17:25Z,@AmaliaGarciaPena,+men,0,Ameca,high,RiTfe-ckD_g
UgzWt5iwDJYe0E_YrjB4AaABAg,2024-09-18T19:02:30Z,@jeanoliveira7383,ok this one is good,0,Ameca,high,RiTfe-ckD_g
UgwGphcPtf1Cq2O7qb54AaABAg,2024-09-07T18:26:50Z,@freakshow-q3j,"0:19  этот момент когда амека смотрит на тебя с непонимающим люцом, просто шикарен 🥲",0,Ameca,high,RiTfe-ckD_g
Ugx7lB_R0qi5AsM51Pl4AaABAg,2024-08-26T01:29:55Z,@EpistleX,"If the artificial intelligence, Citidel of A.I. can measure the Ephah [Bath] of the Pacific Ocean, can the Native American Indegenous Aboriginals partake in that currency using a textile on our local presses in this country U.S.A.? And include Native Indegenous Aboriginals in other countries and use their coastal seas/oceans? the U.S. can provide the pressed textile currency.",0,Ameca,high,RiTfe-ckD_g
UgzMlchfCwOOMGNxi6p4AaABAg,2024-08-15T03:15:53Z,@RileyRoswell,DETROIT BECOME HUMAN!!! WOOO! ITS COMIN IRL,0,Ameca,high,RiTfe-ckD_g
UgzxQ5ExNN_kW-ZjQJJ4AaABAg,2024-07-19T18:17:02Z,@exoduscirea,it said &quot;please stop it&quot;,0,Ameca,high,RiTfe-ckD_g
UgwUNBN5hOcDFqHOuFl4AaABAg,2024-07-19T12:21:09Z,@Paul-g3Paul__q07,"Relax, it&#39;s just important refund info",0,Ameca,high,RiTfe-ckD_g
Ugzpp4cWNKxPrWMcbDh4AaABAg,2024-07-19T11:29:02Z,@Linda-h8Linda___5y9,Let&#39;s play the quick refund game with a step-by-step approach,0,Ameca,high,RiTfe-ckD_g
Ugw74XmRBa5Uu6an3V14AaABAg,2024-07-18T21:54:31Z,@TarraPatock,Be part of an exclusive interview with the CEO of Binance to gain insights into future developments,0,Ameca,high,RiTfe-ckD_g
Ugxs21HLt6wqNE8VwcJ4AaABAg,2024-07-18T10:29:42Z,@Jennifer__4e9u,Ta-da! The time has come to open this email ASAP!,0,Ameca,high,RiTfe-ckD_g
